ts,x,y,z
1700252246400,0.082175195,0.003953073,0.07700696
1700252246439,0.08207337,0.003908844,0.07698098
1700252246475,0.081999116,0.003925508,0.077283755
1700252246501,0.08219407,0.003984464,0.07817456
1700252246536,0.08216493,0.0038936846,0.07811733
1700252246575,0.07928801,0.003225192,0.07273363
1700252246606,0.079059884,0.0028618723,0.07072097
1700252246635,0.07870591,0.002491911,0.06875305
1700252246677,0.07809624,0.002199707,0.06643234
1700252246700,0.07791893,0.0020646714,0.06587552
1700252246737,0.07802465,0.0019729994,0.065980054
1700252246773,0.078112625,0.0018799314,0.0654564
1700252246801,0.07768265,0.0017292672,0.064646386
1700252246834,0.078036234,0.0017346749,0.06533682
1700252246875,0.07746929,0.00214668,0.06865239
1700252246899,0.07726427,0.002240608,0.069237545
1700252246933,0.07702702,0.0022445102,0.06949206
1700252246977,0.075721465,0.002832259,0.071502425
1700252247003,0.07511935,0.0039862185,0.07298701
1700252247036,0.073672086,0.005046208,0.074171394
1700252247073,0.071860716,0.007213643,0.07486462
1700252247103,0.07050276,0.010655936,0.07811799
1700252247137,0.068967104,0.016067952,0.08306657
1700252247171,0.064475834,0.023477728,0.08894196
1700252247202,0.060495228,0.03188501,0.096309766
1700252247238,0.054836433,0.040809967,0.10298191
1700252247268,0.04944331,0.049686767,0.110057205
1700252247315,0.044804126,0.05874026,0.11850627
1700252247335,0.040993325,0.06762975,0.12827739
1700252247373,0.036330156,0.076477684,0.13917668
1700252247401,0.032967653,0.084543526,0.14922084
1700252247441,0.030706372,0.09212699,0.15886821
1700252247478,0.031554133,0.100148834,0.16830347
1700252247503,0.031324945,0.10763693,0.17724937
1700252247536,0.032161713,0.11490557,0.18537402
1700252247574,0.03501621,0.12185378,0.19138099
1700252247604,0.03935813,0.12827337,0.19711477
1700252247637,0.045305133,0.1342129,0.20270266
1700252247676,0.052767385,0.13978642,0.2091111
1700252247700,0.06178318,0.14376165,0.21312581
1700252247736,0.071143,0.14674725,0.21611768
1700252247766,0.078919515,0.14886701,0.2180875
1700252247800,0.087660015,0.14887445,0.21634023
1700252247839,0.096139945,0.1479726,0.21299598
1700252247868,0.1044336,0.14590372,0.20856673
1700252247903,0.11283767,0.14289758,0.20183429
1700252247937,0.1201504,0.13957977,0.19374299
1700252247974,0.12230697,0.13848989,0.18057725
1700252248004,0.12850198,0.13458505,0.17124963
1700252248039,0.13371316,0.13088804,0.16230519
1700252248075,0.13625425,0.12738432,0.1538004
1700252248103,0.14049312,0.124196835,0.14691038
