ts,x,y,z
1700251928646,0.03553999,0.004346794,0.040204808
1700251928678,0.035587966,0.004319789,0.04015666
1700251928716,0.03577007,0.004333472,0.04028913
1700251928757,0.03627868,0.004209656,0.039495975
1700251928786,0.036404617,0.004257114,0.039717752
1700251928804,0.03659646,0.004280024,0.03993031
1700251928845,0.03723547,0.004464152,0.03946216
1700251928876,0.037354954,0.0044832956,0.039592575
1700251928910,0.037463322,0.004482931,0.03967629
1700251928949,0.037952803,0.0045511825,0.039148476
1700251928978,0.03800361,0.004563768,0.039223175
1700251929011,0.038080156,0.0045426306,0.039194837
1700251929049,0.038344577,0.0044828746,0.038291913
1700251929078,0.038336348,0.004355742,0.037769966
1700251929113,0.038392812,0.0042027947,0.037181303
1700251929150,0.038736496,0.004055108,0.036032278
1700251929179,0.038920753,0.003894019,0.035339624
1700251929213,0.039255388,0.0039794557,0.035463713
1700251929249,0.039301574,0.0033660778,0.03572712
1700251929281,0.039628662,0.003661687,0.03682824
1700251929316,0.040162586,0.0037908521,0.03773261
1700251929350,0.041720908,0.003997496,0.0383486
1700251929379,0.04222735,0.0040594814,0.038913425
1700251929413,0.042696975,0.0040688943,0.039231516
1700251929451,0.043585032,0.0037651146,0.03893587
1700251929479,0.04382611,0.0037601674,0.03902214
1700251929514,0.04399003,0.0037399759,0.03895815
1700251929549,0.044765264,0.003523278,0.038445022
1700251929578,0.044753894,0.0034886822,0.038341418
1700251929613,0.044805687,0.0034527513,0.038268138
1700251929647,0.04502386,0.0036608363,0.038248964
1700251929680,0.04507225,0.0036820294,0.038278535
1700251929712,0.045235287,0.0037060818,0.03839638
1700251929750,0.0458149,0.0037102303,0.038197704
1700251929781,0.046027545,0.0037746322,0.038668916
1700251929820,0.04617571,0.0038167215,0.039196465
1700251929842,0.046265207,0.0038034907,0.03924665
1700251929882,0.046053685,0.0038832068,0.039341353
1700251929913,0.0458278,0.003753875,0.03870761
1700251929946,0.045997515,0.0032242695,0.03710004
1700251929983,0.0459681,0.0030663256,0.036580086
1700251930013,0.046201177,0.003066265,0.0366326
1700251930052,0.04647177,0.0029315609,0.036049053
1700251930079,0.046419635,0.0027942052,0.03567767
1700251930115,0.046263292,0.002825969,0.03562037
1700251930151,0.047661304,0.0031176582,0.036189515
1700251930182,0.048046738,0.0034076762,0.037694998
1700251930214,0.04856696,0.0035476382,0.038800925
1700251930249,0.049237005,0.0043920176,0.03975936
1700251930281,0.048986573,0.005059185,0.041669324
1700251930314,0.04776421,0.006463433,0.043979757
1700251930349,0.045268137,0.008664617,0.046375036
1700251930379,0.04170767,0.012022097,0.048758518
1700251930415,0.03751475,0.016222946,0.051027566
1700251930451,0.0334044,0.021241665,0.053390205
1700251930481,0.028648965,0.026189975,0.05520781
1700251930515,0.02392934,0.03153564,0.05734193
1700251930550,0.018670147,0.038052205,0.060905557
1700251930583,0.012089765,0.04444564,0.065403484
1700251930614,0.005302664,0.049838733,0.06934744
1700251930648,-0.0010547377,0.054278433,0.07135486
1700251930681,-0.006513424,0.058777556,0.074815065
1700251930720,-0.012646139,0.06337705,0.07813721
1700251930753,-0.021413669,0.06784197,0.07951419
1700251930786,-0.030926038,0.07161218,0.08167593
1700251930809,-0.04035928,0.074998416,0.08397844
1700251930846,-0.05098684,0.07878833,0.08516924
1700251930872,-0.06188555,0.08262777,0.08767198
1700251930912,-0.072185725,0.08621162,0.090296425
1700251930947,-0.08322062,0.08991216,0.090658695
1700251930979,-0.0932188,0.093537405,0.09286306
1700251931011,-0.10372091,0.097044736,0.09507247
1700251931047,-0.116111204,0.10040546,0.09526624
1700251931081,-0.12852857,0.10410712,0.09794067
1700251931115,-0.14131078,0.10766477,0.101319805
